Number,Code Name,Description,Citations,URLs
21,Auditory Code,The Auditory Codes,"Middlebrooks, J. C. and E. I. Knudsen (1984). ""A neural code for auditory space in the cat's superior colliculus."" J Neurosci 4(10): 2621-2634. Schwarz, D. W. and R. W. Tomlinson (1987). ""A complex tone code in the auditory cortex."" J Otolaryngol 16(5): 316-321. Sterbing, S. J., U. Schmidt and R. Rübsamen (1994). ""The postnatal development of frequency-place code and tuning characteristics in the auditory midbrain of the phyllostomid bat, Carollia perspicillata."" Hear Res 76(1-2): 133-146. Thompson, V. A., & Paivio, A. (1994). Memory for pictures and sounds: independence of auditory and visual codes. Can J Exp Psychol, 48(3), 380-398. Schwarz, D. W., F. Tennigkeit, T. Adam, P. Finlayson and E. Puil (1998). ""Membrane properties that shape the auditory code in three nuclei of the central nervous system."" J Otolaryngol 27(6): 311-317. Lalwani, A. K. and C. M. Castelein (1999). ""Cracking the auditory genetic code: nonsyndromic hereditary hearing impairment."" Am J Otol 20(1): 115-132.","[""https://doi.org/10.1037/1196-1961.48.3.380"", ""https://pubmed.ncbi.nlm.nih.gov/3119868/"", ""https://pubmed.ncbi.nlm.nih.gov/9857314/"", ""https://pubmed.ncbi.nlm.nih.gov/9918184/"", ""https://www.jneurosci.org/content/4/10/2621.long"", ""https://www.sciencedirect.com/science/article/abs/pii/0378595594900957""]"
22,Autophagic code,The Autophagic Code,"Dong, N., & Yue, H. (2025). Decoding the autophagic code in obstructive sleep apnea: a multi-organ mechanistic dissection. Biochem Biophys Res Commun, 777, 152324.","[""https://academic.oup.com/plphys/article/187/1/7/6364284"", ""https://doi.org/10.1016/j.bbrc.2025.152324""]"
23,Auxin code,The Auxin Metabolism Code,"Campos, M. L. (2021). ""Breaking the code of auxin metabolism: an additional role for DIOXYGENASE FOR AUXIN OXIDATION 1."" Plant Physiol 187(1): 7-8. Martin-Arevalillo, R., & Vernoux, T. (2023). Decoding the Auxin Matrix: Auxin Biology Through the Eye of the Computer. Annu Rev Plant Biol, 74(Volume 74, 2023), 387-413. Martin-Arevalillo, R., Guillotin, B., Schön, J., Hugues, A., Gerentes, M.-F., Tang, K., . . . Vernoux, T. (2025). Synthetic deconvolution of an auxin-dependent transcriptional code. Cell, 188(11), 2872- 2889.e2824.","[""https://academic.oup.com/plphys/article/187/1/7/6364284"", ""https://direct.mit.edu/neco/article-abstract/15/3/549/6709/A-Theoretical-Model-of-Axon-Guidance-by-the-Robo"", ""https://doi.org/10.1016/j.cell.2025.03.028"", ""https://doi.org/10.1146/annurev-arplant-102720-033523""]"
24,Axon guidance code,The Axon Guidance Codes,"Goodhill, G. J. (2003). ""A theoretical model of axon guidance by the Robo code."" Neural Comput 15(3): 549-564. Kinrade, E. F. and A. Hidalgo (2004). ""Lateral neuron--glia interactions steer the response of axons to the Robo code."" Neuron Glia Biol 1(2): 101-112. Shirasaki, R., J. W. Lewcock, K. Lettieri and S. L. Pfaff (2006). ""FGF as a target-derived chemoattractant for developing motor axons genetically programmed by the LIM code."" Neuron 50(6): 841-853. Chatterjee, M., Li, K., Chen, L., Maisano, X., Guo, Q., Gan, L., & Li, J. Y. H. (2012). Gbx2 regulates thalamocortical axon guidance by modifying the LIM and Robo codes. Development, 139(24), 4633- 4643. Zarin, A. A., A. C. Daly, J. Hülsmeier, J. Asadzadeh and J. P. Labrador (2012). ""A GATA/homeodomain transcriptional code regulates axon guidance through the Unc-5 receptor."" Development 139(10): 1798-1805. Kohl, A., T. Marquardt, A. Klar and D. Sela-Donenfeld (2015). “Control of axon guidance and neurotransmitter phenotype of dB1 hindbrain interneurons by Lim-HD code.” J Neurosci 35(6): 2596- 2611.","[""https://direct.mit.edu/neco/article-abstract/15/3/549/6709/A-Theoretical-Model-of-Axon-Guidance-by-the-Robo"", ""https://doi.org/10.1016/j.ejcped.2025.100458"", ""https://journals.biologists.com/dev/article/139/10/1798/45027/A-GATA-homeodomain-transcriptional-code-regulates"", ""https://journals.biologists.com/dev/article/139/24/4633/45472/Gbx2-regulates-thalamocortical-axon-guidance-by"", ""https://www.cambridge.org/core/journals/neuron-glia-biology/article/abs/lateral-neuronglia-interactions-steer-the-response-of-axons-to-the-robo-code/"", ""https://www.cell.com/neuron/fulltext/S0896-6273(06)00348-5"", ""https://www.jneurosci.org/content/35/6/2596.long""]"
25,BAF code,The BRG1/BRM-associated factor (BAF) Code,"de Rojas, I., Miera, M., Molero, A., Jinménez, C., Pérez, M. J., Moreno, L., & Segura, M. F. (2026). Cracking the BAF code: a new therapeutic strategy in neuroblastoma (was selected for Fire-session). EJC Paediatric Oncology, 7.","[""https://doi.org/10.1016/j.ejcped.2025.100458""]"
26,BAFF code,The B cell activating factor (BAFF) Immune Code,"Mackay, F. and P. Schneider (2009). “Cracking the BAFF code.” Nat Rev Immunol 9(7): 491-502.","[""https://doi.org/10.1016/j.bcp.2018.01.007"", ""https://www.nature.com/articles/nri2572""]"
27,BGC code,The (Cryptic) Biosynthetic Gene Cluster Codes,"Rigali, S., Anderssen, S., Naômé, A., & van Wezel, G. P. (2018). Cracking the regulatory code of biosynthetic gene clusters as a strategy for natural product discovery. Biochem Pharmacol, 153, 24- 34.","[""https://doi.org/10.1016/j.bcp.2018.01.007"", ""https://journals.sagepub.com/doi/10.1177/000313481508101035""]"
28,Bile code,The Bile Acid Code,"Vuong, B., Tejirian, T., Chen, G. L., & Collins, J. C. (2015). Cracking the Code: The Unexpected Challenge of Identifying Major Bile Duct Injuries. Am Surg, 81(10), 1088-1092. Gadaleta, R. M., M. Cariello, L. Crudele and A. Moschetta (2022). ""Bile Salt Hydrolase-Competent Probiotics in the Management of IBD: Unlocking the ""Bile Acid Code""."" Nutrients 14(15).","[""https://doi.org/10.1007/bf01153509"", ""https://journals.sagepub.com/doi/10.1177/000313481508101035"", ""https://www.mdpi.com/2072-6643/14/15/3212""]"
29,Binaural code,The Binaural Code,"Harnischfeger, G. (1980). Brainstem units of echolocating bats code binaural time differences in the microsecond range. Naturwissenschaften, 67(6), 314-316. Młynarski, W. (2015). The Opponent Channel Population Code of Sound Location Is an Efficient Representation of Natural Binaural Sounds. PLOS Computational Biology, 11(5), e1004294. Bouse, J., Vencovský, V., Rund, F., & Marsalek, P. (2019). Functional rate-code models of the auditory brainstem for predicting lateralization and discrimination data of human binaural perception. J Acoust Soc Am, 145(1), 1. Encke, J. and M. Dietz (2022). “A hemispheric two-channel code accounts for binaural unmasking in humans.” CommunBiol 5(1): 1122.","[""https://doi.org/10.1007/bf01153509"", ""https://doi.org/10.1121/1.5084264"", ""https://doi.org/10.1371/journal.pcbi.1004294"", ""https://www.cabidigitallibrary.org/doi/full/10.5555/20113083064"", ""https://www.nature.com/articles/s42003-022-04098-x""]"
30,Biodiversity code,The Biodiversity Codes,"Ab’Sáber, A. (2010). Evolving from a Forest Code to a Biodiversity Code [Do código florestal para o código da biodiversidade.]. Biota Neotropica, 10(4), 331–336. Nogués-Bravo, D., Rodríguez-Sánchez, F., Orsini, L., de Boer, E., Jansson, R., Morlon, H., . . . Jackson, S. T. (2018). Cracking the Code of Biodiversity Responses to Past Climate Change. Trends in Ecology & Evolution, 33(10), 765-776.","[""https://doi.org/10.1016/j.tree.2018.07.005"", ""https://www.cabidigitallibrary.org/doi/full/10.5555/20113083064"", ""https://www.tandfonline.com/doi/abs/10.4161/cib.22595""]"
